R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs,region
8,8,100,0.3257363702058434,2.2343828321845294,685.948219651539,ok,2.3429181398704704,719.268204035645,100,ok,diagnostic_only,4.9418950766419815e-12,6.929492074945219e-12,140.2193281621391,44,borderline_R7-8
8,9,100,-0.9173863187544294,2.0323850693462355,221.54080868632124,ok,2.2008259892064808,239.901767032522,100,ok,diagnostic_only,3.5680260160483946e-12,7.475844258541767e-12,209.52325529344935,46,borderline_R7-8
9,1,100,1.4478698731379975,0.0087312520073146,0.6030412103534729,ok,0.0079834557714138,0.5513931824626714,100,ok,good,1.1379164913280934e-08,6.358862576517849e-11,0.5588162773786894,0,diagnostic_R9-12
9,2,100,1.390067719415896,0.0175808267674545,1.264746063942987,ok,0.0174141952015035,1.2527587655097112,100,ok,good,2.6749058164017422e-09,2.412683813854277e-11,0.9019696316260573,0,diagnostic_R9-12
9,3,100,1.4071318758073232,0.0558275476648715,3.967470897696866,ok,0.0466263018969215,3.313570156327412,100,ok,good,6.66207864346224e-10,1.2547803613150902e-11,1.8834667503459384,0,diagnostic_R9-12
9,4,100,1.5651008636594692,0.21103361924008,13.483707289423377,ok,0.1796010386671463,11.475365124213717,100,ok,marginal,1.6311734579804947e-10,7.502806561317226e-12,4.5996374724035896,3,diagnostic_R9-12
9,5,100,1.7353507396385803,1.074939347440228,61.94363611266876,ok,1.1139536971127568,64.19184731178659,100,ok,diagnostic_only,3.410244187645297e-11,6.355512370420313e-12,18.6365316403007,32,diagnostic_R9-12
9,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,6.0135680106562466e-12,6.432637105300013e-12,106.96872628531284,48,diagnostic_R9-12
9,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-3.492750519246557e-12,5.8389138378275575e-12,167.17237047572198,55,diagnostic_R9-12
9,8,100,2.3066282383427072,3.961411896163492,171.74037108856922,ok,,,99,invalid_jackknife_samples,diagnostic_only,1.3943730898210698e-11,6.3244258198041655e-12,45.35676904533302,37,diagnostic_R9-12
9,9,100,-1.6548180890875597,3.9605541393921695,239.3347139186735,ok,,,99,invalid_jackknife_samples,diagnostic_only,1.3887468183297637e-12,5.513249793355321e-12,396.9945940172212,47,diagnostic_R9-12
10,1,100,1.5492397944331633,0.0120819106663792,0.7798605941954749,ok,0.0114006391461743,0.7358860253357741,100,ok,good,8.699088350692919e-09,6.163254154416741e-11,0.7084942589329848,0,diagnostic_R9-12
10,2,100,1.4771093033008391,0.0254810850585944,1.7250642861467926,ok,0.025244462040255,1.7090449558365273,100,ok,good,1.8477680263253798e-09,2.3001855287726988e-11,1.2448454005057294,0,diagnostic_R9-12
10,3,100,1.539201691493551,0.0741935600333515,4.820262376489364,ok,0.0654361450822431,4.251304130178533,100,ok,good,4.218392908534764e-10,1.0900404680735224e-11,2.584018349424312,0,diagnostic_R9-12
10,4,100,1.8082603070657344,0.3604128716135513,19.931470607702146,ok,0.3569808505725828,19.74167376111108,100,ok,marginal,9.050659515104836e-11,6.309239062229274e-12,6.971026864616498,7,diagnostic_R9-12
10,5,100,1.9735376434637224,2.4454265432339675,123.91081322077244,ok,2.9921653760277374,151.6143046948037,100,ok,diagnostic_only,1.483756907831359e-11,5.3687706136356995e-12,36.18362674707025,41,diagnostic_R9-12
10,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,2.061893575758253e-12,5.055548664296167e-12,245.1896025931896,48,diagnostic_R9-12
10,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-3.638082660089783e-12,5.651864339434034e-12,155.35282915464472,51,diagnostic_R9-12
10,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,2.9965446141970906e-12,5.305774248670586e-12,177.06308204232232,50,diagnostic_R9-12
10,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-4.842849210491498e-12,4.6400850543804765e-12,95.81312266192896,54,diagnostic_R9-12
11,1,100,1.6404641387879484,0.0157351428747735,0.9591884700630776,ok,0.0152817805511591,0.9315522473078888,100,ok,good,7.138297564204931e-09,6.134700222847814e-11,0.8594066256932653,0,diagnostic_R9-12
11,2,100,1.5201143798239412,0.0374632820488594,2.4645041548254025,ok,0.0370906852295021,2.4399930506412284,100,ok,good,1.3840447254462521e-09,2.2613475460481223e-11,1.6338688370919556,0,diagnostic_R9-12
11,3,100,1.6542587277012082,0.1323869289666472,8.002794650545072,ok,0.1140182669940936,6.892408369066657,100,ok,good,3.0267241193145286e-10,1.11553762285615e-11,3.6856270306815713,0,diagnostic_R9-12
11,4,100,2.177269535957133,0.851376901883211,39.1029630380119,ok,0.8412973136241687,38.640016760916666,100,ok,diagnostic_only,5.788118322057382e-11,6.656871343233543e-12,11.500924778723878,20,diagnostic_R9-12
11,5,100,0.1598139265515904,1.2733244432821975,796.7543697583508,ok,1.2598993075775096,788.3538905295557,100,ok,diagnostic_only,6.560867324040521e-12,5.522721864169961e-12,84.17670395396418,42,diagnostic_R9-12
11,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,5.591842737075449e-12,5.183399346914386e-12,92.6957282354711,44,diagnostic_R9-12
11,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-2.4405775091107477e-12,4.887873614646746e-12,200.275287156428,55,diagnostic_R9-12
11,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-8.067936427971316e-13,4.760940874335603e-12,590.1063942236271,53,diagnostic_R9-12
11,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,4.0858808547098105e-12,4.915361143757825e-12,120.30113746689084,45,diagnostic_R9-12
12,1,100,1.6790580953741752,0.0185039131342946,1.1020412685703471,ok,0.0179683431367358,1.070144218728276,100,ok,good,6.630632394381673e-09,6.054090221050989e-11,0.9130486899229696,0,diagnostic_R9-12
12,2,100,1.543046588264606,0.0465270950325342,3.015274806761419,ok,0.046069634907916,2.985628253760535,100,ok,good,1.2369418557269315e-09,2.3265794561717257e-11,1.8809125468589067,0,diagnostic_R9-12
12,3,100,2.0193682984388346,0.2151743291710894,10.655526747519993,ok,0.2089833443619031,10.348946476156296,100,ok,marginal,2.6437030182299743e-10,1.2069268487285704e-11,4.5652890676678135,0,diagnostic_R9-12
12,4,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,3.5092326218691914e-11,7.657089645952532e-12,21.81984060627473,30,diagnostic_R9-12
12,5,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-3.642551603602181e-12,6.451097304559092e-12,177.10379993462527,54,diagnostic_R9-12
12,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-5.577294893068792e-12,6.807129261676215e-12,122.05073233864331,56,diagnostic_R9-12
12,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,3.971890742346626e-12,6.675178882890747e-12,168.06048594748094,44,diagnostic_R9-12
12,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-2.9579346510515e-12,7.1902035777298926e-12,243.0818941579351,53,diagnostic_R9-12
12,9,100,5.1051854365878615,83.73171720597435,1640.1307699008455,ok,,,56,invalid_jackknife_samples,diagnostic_only,1.3712233519262612e-11,6.413502974536488e-12,46.77212480028841,43,diagnostic_R9-12
