profile,sigma,radius,effective_time,effective_energy,jackknife_error,plateau_fit_T3_5,plateau_fit_error,chi2_dof,p_value,z2,shift_from_constant,paired_shift_z
sigma=0.0100,0.0100,4,3,0.7903987753600898,0.272799987135922,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
sigma=0.0100,0.0100,4,4,0.31455495267418354,0.7016777137855363,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
sigma=0.0100,0.0100,4,5,-0.2572791629596379,0.646529613650449,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
sigma=0.0100,0.0100,4,6,nan,nan,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
sigma=0.0100,0.0100,4,7,nan,nan,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
sigma=0.0100,0.0100,5,1,1.4427413788762922,0.3622345177540145,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,5,2,1.2955759798389543,0.35251360488583955,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,5,3,0.8796901171558799,0.2789224718419118,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,5,4,0.34210077046865445,0.954381652535315,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,5,5,-0.5823910736377125,1.5710929356798369,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,5,6,2.2936347815550895,nan,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,5,7,nan,nan,1.1945512879262319,0.1580585372653324,0.9688842871079189,0.37950622196812805,0.23251089444256715,0.16796585699542477,1.0419142529276877
sigma=0.0100,0.0100,6,1,1.611444657965588,0.36339190001895094,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0100,0.0100,6,2,1.3011865619215248,0.36719619154955635,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0100,0.0100,6,3,1.258029273452209,0.3514350850763591,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0100,0.0100,6,4,1.2091485368419992,1.0466760664505217,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0100,0.0100,6,5,nan,nan,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0100,0.0100,6,6,nan,nan,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0100,0.0100,6,7,nan,nan,nan,nan,nan,nan,nan,nan,0.0
sigma=0.0500,0.0500,1,1,0.49920080278631684,0.0044893659917401955,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,1,2,0.488266114456112,0.004661625015935504,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,1,3,0.4784466188227466,0.005073890075782708,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,1,4,0.48079221963817903,0.006269768898201765,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,1,5,0.4765523186399847,0.005725273502495841,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,1,6,0.4704773144225397,0.009054116150990808,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,1,7,0.4800856987214428,0.011659117269126013,0.47881410097951327,0.0025006111003254613,0.11034921899019995,0.8955213476232898,1.6402511236084707,-0.002737610879202268,-1.4034342476476105
sigma=0.0500,0.0500,2,1,0.7281103967906344,0.004706663564092197,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,2,2,0.7131125031529941,0.005430750055794942,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,2,3,0.6944000947412325,0.00694372895783778,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,2,4,0.6946037436617613,0.0099512914881961,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,2,5,0.6915200840820848,0.016631329487341178,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,2,6,0.7538289379059959,0.02913056587398053,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,2,7,0.6513641757792715,0.061641971032014596,0.6942688948693416,0.004772909421043291,0.014932827206567767,0.9851781145464423,2.523044694667053,-0.0026255947534309376,-1.0479892353640565
sigma=0.0500,0.0500,3,1,0.8714480460542546,0.005637679078400792,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
sigma=0.0500,0.0500,3,2,0.8503836633668597,0.0068603111992309295,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
